	0	5	10	15	20	25	30	35	40	45	50	55	60	65	70	75	80	85	90
0.3	0.1001	0.1007	0.1022	0.1047	0.1082	0.1128	0.1186	0.1258	0.1346	0.1449	0.1565	0.1688	0.1812	0.1930	0.2036	0.2125	0.2191	0.2232	0.2246
0.4	0.1001	0.1007	0.1022	0.1047	0.1082	0.1128	0.1186	0.1258	0.1346	0.1449	0.1565	0.1688	0.1812	0.1930	0.2036	0.2125	0.2191	0.2232	0.2246
0.5	0.1001	0.1007	0.1022	0.1047	0.1082	0.1128	0.1186	0.1258	0.1346	0.1449	0.1565	0.1688	0.1812	0.1930	0.2036	0.2125	0.2191	0.2232	0.2246
0.6	0.1001	0.1007	0.1022	0.1047	0.1082	0.1128	0.1186	0.1258	0.1346	0.1449	0.1565	0.1688	0.1812	0.1930	0.2036	0.2125	0.2191	0.2232	0.2246
0.7	0.1001	0.1007	0.1022	0.1047	0.1082	0.1128	0.1186	0.1258	0.1346	0.1449	0.1565	0.1688	0.1812	0.1930	0.2036	0.2125	0.2191	0.2232	0.2246
0.8	0.1001	0.1007	0.1022	0.1047	0.1082	0.1128	0.1186	0.1258	0.1346	0.1449	0.1565	0.1688	0.1812	0.1930	0.2036	0.2125	0.2191	0.2232	0.2246
0.9	0.1001	0.1007	0.1022	0.1047	0.1082	0.1128	0.1186	0.1258	0.1346	0.1449	0.1565	0.1688	0.1812	0.1930	0.2036	0.2125	0.2191	0.2232	0.2246
1.0	0.1001	0.1007	0.1022	0.1047	0.1082	0.1128	0.1186	0.1258	0.1346	0.1449	0.1565	0.1688	0.1812	0.1930	0.2036	0.2125	0.2191	0.2232	0.2246
1.1	0.1001	0.1007	0.1022	0.1047	0.1082	0.1128	0.1186	0.1258	0.1346	0.1449	0.1565	0.1688	0.1812	0.1930	0.2036	0.2125	0.2191	0.2232	0.2246
1.2	0.1001	0.1007	0.1022	0.1047	0.1082	0.1128	0.1186	0.1258	0.1346	0.1449	0.1565	0.1688	0.1812	0.1930	0.2036	0.2125	0.2191	0.2232	0.2246
1.3	0.1001	0.1007	0.1022	0.1047	0.1082	0.1128	0.1186	0.1258	0.1346	0.1449	0.1565	0.1688	0.1812	0.1930	0.2036	0.2125	0.2191	0.2232	0.2246
1.4	0.0685	0.0681	0.0670	0.0656	0.0646	0.0646	0.0662	0.0701	0.0767	0.0857	0.0968	0.1092	0.1220	0.1344	0.1456	0.1550	0.1621	0.1666	0.1681
1.5	0.0953	0.0939	0.0898	0.0836	0.0759	0.0673	0.0584	0.0502	0.0438	0.0411	0.0432	0.0497	0.0589	0.0689	0.0784	0.0866	0.0928	0.0967	0.0981
1.6	0.1407	0.1389	0.1337	0.1258	0.1159	0.1047	0.0927	0.0804	0.0679	0.0556	0.0442	0.0345	0.0285	0.0272	0.0300	0.0346	0.0388	0.0417	0.0427
1.7	0.1854	0.1834	0.1774	0.1683	0.1571	0.1447	0.1318	0.1188	0.1059	0.0932	0.0809	0.0692	0.0585	0.0491	0.0414	0.0358	0.0321	0.0302	0.0296
